,,,
Группа проверок,Проверка,Приоритет,Комментарий
Отображение элементов,"Отображение на странице элементов:
 1. Поле ЛОГИН
 2. Поле ПАРОЛЬ
 3. Кнопка ВОЙТИ",High,
Поле ЛОГИН и ПАРОЛЬ,Успешная авторизация с данными зарегистрированного пользователя (логином и паролем) с доступом в интернет,High,
,Ошибка авторизации с данными зарегистрированного пользователя (логином и паролем) без доступа в интернет,High,
,Вход в приложение без доступа в интернет на устройстве и информирование об отсутствии интернет-соединения,High,
,Ошибка авторизации с незарегистрированными данными (неверный логин и пароль),High,
,Ошибка авторизации с зарегистрированным логином и пустым паролем,Medium,
,Ошибка авторизации с зарегистрированным логином и неверным паролем,Medium,
,Ошибка авторизации с незарегистрированным логином и верным паролем,Medium,
,Ошибка авторизации с незарегистрированным логином и пустым паролем,Medium,
,Ошибка авторизации с пустым полем ЛОГИН и верным паролем,Medium,
,Ошибка авторизации с пустым полем ЛОГИН и неверным паролем,Medium,
,Все поля пустые и вывод соответствующего предупреждения об ошибке,Medium,
,Максимальная длина ввода в поле ЛОГИН,Low,
,Максимальная длина ввода в поле ПАРОЛЬ,Low,
"Кнопка ""Войти""",Кликабельность кнопки,High,
Просмотр новостей на главной странице,Сворачивание и разворачивание блока новостей,Medium,
,Отображение максимально трех последних новостей в блоке,Low,
,Разворачивание каждой новости,Medium,
,Обновление страницы при добавлении новой новости (протягивание страницы вниз),Medium,
,Возможность перехода в блок ВСЕ НОВОСТИ с блока новостей,Medium,
Сортировка,Сортировка по возрастанию / убыванию (по дате),Medium,
Просмотр новостной ленты,Обновление страницы,Medium,
Фильтрация,По категории,Medium,
,По дате (верный период),Medium,
,По дате (неверный период),Medium,
,Кликабельность кнопки ФИЛЬТРОВАТЬ,Medium,
,Кликабельность кнопки ОТМЕНА,Medium,
,Сброс фильтра по кнопке ОТМЕНА,Medium,
Отображение элементов панели управления,Кликабельность кнопки сортировки,Medium,
,Кликабельность кнопки Фильтрация и открытие окна настроек фильтрации,High,
,Кликабельность кнопки Создание новости и открытие страницы создания,High,
Сортировка,Сортировка по возрастанию / убыванию (по дате),Medium,
Фильтрация,Верная фильтрация по категории,Medium,
,Верная фильтрация по дате (верный период),Medium,
,Ошибка фильтрации по дате (неверный период),Medium,
,Кликабельность чекбокса АКТИВНА,High,
,Кликабельность чекбокса НЕАКТИВНА,High,
,Верная фильтрация по фильтру АКТИВНА,Medium,
,Верная фильтрация по фильтру НЕАКТИВНА,Medium,
Просмотр новостной ленты,Обновление страницы смахиванием вниз,Low,
,Раскрытие/скрытие новости по иконке (стрелочка вниз),Medium,
,Раскрытие/скрытие новости по тапу по карточке новости,Medium,
,Прокрутка новостной ленты,High,
,Удаление новости по иконке корзины,High,
,Открытие страницы редактирования новости тапом на иконку в карточке новости,High,
Категория,Изменение категории тапом на поле,Medium,
,Изменение категории тапом на стрелочку,Medium,
,Отсутствие возможности самостоятельного ввода названия категории,Medium,
,Очистить поле и появление ошибки при сохранении,High,
Заголовок,Оставить поле пустым и появление ошибки при попытке сохранения,High,
,Ограничение максимального количества символов,Medium,
Дата публикации,Открытие календаря,High,
,Невозможность выбора даты ранее текущего дня,Medium,
,Правильное функционирование кнопки ОТМЕНА - закрытие окна без сохранения введенных данных,High,
,Кнопка ОК и сохранение выбранной даты,High,
,Пролистывание календаря и выбор любой даты,Medium,
Время публикации,Открытие окна изменения времени,High,
,"Выбора времени при помощи перетягивания стрелок циферблата:
  - Выбор по внутреннему кругу (от 13 до 00 часов) и отображение выбранного часа в верхней панели окна
  - Выбор по внешнему кругу (от 1 до 12) и отображение выбранного часа в верхней панели окна",Medium,
,Автоматический переход к выбору минут после выбора часа,Low,
,Тап по часу в верхней панели окна и повторная возможность выбора часа,Low,
,Тап по минутам и выбор минут при помощи стрелки циферблата (от 00 до 59 минут),Medium,
